workclass,education,marital-status,occupation,relationship,sex,native-country,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,class
 Self-emp-not-inc, 9th, Married-civ-spouse, Transport-moving, Husband, Male, United-States,0.468894462900332,-0.22498283082819623,-1.9796631757869556,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-not-inc, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,1.8581108135480595,-1.514098585631633,-2.3680978338825454,-0.1459543139772638,-0.21686313686554418,1.575803498010159,0
 Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, Female, United-States,-0.48162198754285,0.49735259818986643,0.7393794308821703,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,1.273177613275332,-0.06254070091876401,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-spouse-absent, Craft-repair, Unmarried, Male, United-States,-0.40850533750875906,-0.5013808945150909,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,0.7672177677725571,0
 ?, 10th, Never-married, ?, Own-child, Female, United-States,-1.5783717380542137,-0.15928384402841528,-1.5912285176913663,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Some-college, Never-married, Adm-clerical, Other-relative, Female, United-States,1.0538276631730594,-0.9202955157845287,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Divorced, Sales, Unmarried, Female, United-States,0.542011112934423,-0.14526143742444925,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.8499536927026468,0
 State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, Female, United-States,0.32266116283215013,-0.6815325215932923,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Bachelors, Married-civ-spouse, Sales, Husband, Male, United-States,-0.40850533750875906,0.7292763259448362,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,1.171510632891358,0
 Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,1.492527563377605,-0.1668299620237376,2.293118063264528,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, Some-college, Never-married, Other-service, Own-child, Male, United-States,-0.9203218877473955,0.811653188719089,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-1.6585394229402488,0
 Private, Some-college, Never-married, Other-service, Not-in-family, Female, Jamaica,-0.7009719376451228,0.7010022635826157,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.8499536927026468,0
 Private, HS-grad, Never-married, Adm-clerical, Own-child, Female, United-States,-0.6278552876110318,0.15649731395558564,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-inc, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Female, United-States,2.5892773138889686,-0.3898893891462274,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-2.7905594452728915,1
 Private, 10th, Never-married, Craft-repair, Own-child, Male, United-States,-1.1396718378496682,1.1431665699161226,-1.5912285176913663,-0.1459543139772638,-0.21686313686554418,-1.8202565689877692,0
 Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,2.1505774136844233,-0.5261684593225104,-0.03748988530900857,2.4763139200361595,-0.21686313686554418,-0.04136796246504486,1
 Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Male, Taiwan,0.2495445127980592,-0.8817625537679081,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,1.575803498010159,0
 Federal-gov, Some-college, Divorced, Handlers-cleaners, Not-in-family, Male, United-States,1.0538276631730594,-0.06823372158358947,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-inc, Bachelors, Divorced, Tech-support, Not-in-family, Female, United-States,0.2495445127980592,0.7997990970327662,1.1278140889777597,-0.1459543139772638,3.702064434683847,1.575803498010159,1
 Private, Masters, Married-civ-spouse, Exec-managerial, Wife, Female, United-States,-0.33538868747466816,0.95909860311883,1.5162487470733492,1.8188832476315173,-0.21686313686554418,0.3629249026537561,1
 Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Male, United-States,0.542011112934423,-1.3769216229343875,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Female, United-States,0.9075943631048775,0.6019761809781771,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,0.20120775660623572,0
 Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, Female, United-States,0.2495445127980592,0.4477965726712181,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, 10th, Married-civ-spouse, Craft-repair, Husband, Male, United-States,0.030194562695786447,-0.08739513006285096,-1.5912285176913663,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Male, Mexico,0.1764278627639683,0.42324780906618215,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,0.3629249026537561,0
 Private, HS-grad, Separated, Craft-repair, Other-relative, Female, United-States,0.6151277629685138,-0.3314881670912898,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,0.10331121272987737,-1.372890658638152,1.5162487470733492,-0.1459543139772638,-0.21686313686554418,0.7672177677725571,0
 Private, HS-grad, Married-civ-spouse, Sales, Husband, Male, United-States,1.0538276631730594,-1.4566239122419438,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Female, United-States,-0.7740885876792137,-0.06728806882215033,1.1278140889777597,-0.1459543139772638,4.483845382460964,2.384389228247761,0
 Private, HS-grad, Never-married, Transport-moving, Own-child, Male, United-States,-1.1396718378496682,-0.7007607944092211,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, Male, United-States,-0.04292208733830447,-0.5139036295680878,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,1.575803498010159,0
 Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,0.030194562695786447,-0.07788129015988762,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,0.9807110131389685,-1.5083864608706168,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,1.575803498010159,0
 Private, Bachelors, Married-civ-spouse, Sales, Husband, Male, United-States,-0.1160387373723954,1.8215912338398856,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,1.171510632891358,1
 Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Male, United-States,-0.48162198754285,-0.38794077133477706,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Federal-gov, Bachelors, Never-married, Protective-serv, Not-in-family, Female, United-States,-0.8472052377133046,-1.360004945757532,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,0
 Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,0.32266116283215013,0.179173876133934,2.293118063264528,-0.1459543139772638,-0.21686313686554418,0.12034918358247552,1
 Federal-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, Male, United-States,0.542011112934423,-0.16210169821654197,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,0.12034918358247552,0
 Private, Assoc-voc, Never-married, Transport-moving, Own-child, Male, United-States,-0.33538868747466816,-0.6112676558039365,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 ?, HS-grad, Divorced, ?, Unmarried, Female, United-States,0.030194562695786447,-1.1187297629172197,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Never-married, Adm-clerical, Own-child, Female, United-States,-1.28590513791785,1.7272265507059752,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,0
 Private, Some-college, Widowed, Tech-support, Unmarried, Female, United-States,0.2495445127980592,-0.9287968385893856,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Assoc-voc, Never-married, Tech-support, Not-in-family, Male, United-States,-0.554738637576941,0.9654125069098528,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Own-child, Male, United-States,-1.1396718378496682,0.45834203376847865,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,0
 Private, HS-grad, Divorced, Sales, Other-relative, Female, United-States,0.030194562695786447,1.2526712492811545,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Other-service, Husband, Male, Puerto-Rico,-0.7740885876792137,-0.3705751478974404,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,-0.40850533750875906,3.824015732211284,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,0.7672177677725571,0
 Private, Some-college, Never-married, Farming-fishing, Not-in-family, Male, United-States,-1.359021787951941,-1.3956913974417398,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,2.5461063742952814,0
 Private, Some-college, Never-married, Other-service, Not-in-family, Male, United-States,-1.2127884878837591,1.1589656574658227,-0.03748988530900857,0.28888892965620244,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,0.39577781286624103,0.24852174530613663,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,0.3629249026537561,1
 Private, Prof-school, Separated, Tech-support, Not-in-family, Male, Columbia,0.32266116283215013,1.5459095737601418,1.9046834051689385,-0.1459543139772638,-0.21686313686554418,0.7672177677725571,1
 Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Male, United-States,-0.04292208733830447,-0.20422623031701218,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-1.6585394229402488,0
 ?, Some-college, Never-married, ?, Not-in-family, Male, United-States,0.6882444130026047,0.9618591450183845,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,0
 Local-gov, Masters, Married-civ-spouse, Prof-specialty, Wife, Female, United-States,0.6882444130026047,-0.8705771054482595,1.5162487470733492,1.8188832476315173,-0.21686313686554418,-2.4671251531778506,1
 Local-gov, Assoc-voc, Divorced, Exec-managerial, Not-in-family, Female, United-States,0.32266116283215013,0.334709875270432,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,-0.7740885876792137,-0.3858202166576105,-0.425924543404598,0.23134576358139794,-0.21686313686554418,-0.04136796246504486,0
 Private, Assoc-acdm, Never-married, Tech-support, Own-child, Male, United-States,-0.554738637576941,0.5503760171671249,0.7393794308821703,-0.1459543139772638,-0.21686313686554418,0.3629249026537561,0
 Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Male, United-States,0.32266116283215013,0.33490091623233886,1.1278140889777597,0.8084775633271082,-0.21686313686554418,-0.04136796246504486,1
 Private, HS-grad, Never-married, Craft-repair, Unmarried, Male, United-States,-1.28590513791785,-0.6696784299069695,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,0
 Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Wife, Female, United-States,0.6151277629685138,-0.8980010355299941,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,0.3629249026537561,1
 Local-gov, HS-grad, Never-married, Farming-fishing, Own-child, Male, United-States,-1.2127884878837591,-0.49011902981067945,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,-0.7009719376451228,-0.23128718257112374,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,0.7672177677725571,0
 Private, 11th, Never-married, Farming-fishing, Unmarried, Male, United-States,-1.0665551878155775,0.38755180533387895,-1.2027938595957768,0.17615663611874446,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,0.10331121272987737,-0.19779770194884516,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Female, United-States,1.5656442134116957,2.2774722812383077,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Other-service, Husband, Male, El-Salvador,0.9075943631048775,-0.47730018126672685,-0.425924543404598,0.8084775633271082,-0.21686313686554418,-0.04136796246504486,1
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Male, United-States,-0.48162198754285,-0.6404778188795006,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Sales, Husband, Male, United-States,-0.04292208733830447,-0.10028084294347098,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,2.384389228247761,1
 Private, HS-grad, Never-married, Other-service, Other-relative, Male, United-States,0.10331121272987737,0.2546446081352526,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,0.1764278627639683,0.13128945903197095,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Federal-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, Female, United-States,0.7613610630366957,0.14026838424159496,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-inc, Masters, Divorced, Prof-specialty, Not-in-family, Female, United-States,1.2000609632412411,-0.6485875077124483,1.5162487470733492,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,0
 Private, Bachelors, Separated, Adm-clerical, Unmarried, Female, United-States,0.32266116283215013,0.31263509212209034,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,0
 Private, HS-grad, Never-married, Other-service, Own-child, Female, United-States,-1.359021787951941,0.11602528617561009,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.8499536927026468,0
 Private, Bachelors, Never-married, Sales, Own-child, Male, United-States,-0.6278552876110318,-0.7207627831208729,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-1.8202565689877692,0
 Local-gov, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,0.2495445127980592,0.1999400286932134,1.9046834051689385,-0.1459543139772638,-0.21686313686554418,1.171510632891358,1
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,1.346294263309423,-0.7233800442989974,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, Female, United-States,-0.554738637576941,-0.4295494928380986,0.7393794308821703,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Male, United-States,-0.04292208733830447,-0.009077887729119641,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, Male, United-States,-0.7009719376451228,-0.010224133500561006,0.7393794308821703,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Local-gov, Masters, Divorced, Prof-specialty, Unmarried, Female, ?,0.39577781286624103,-0.5135597558366554,1.5162487470733492,-0.1459543139772638,-0.21686313686554418,-1.9819737150352894,0
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,0.8344777130707866,0.9606460349102758,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,0.5246420487012765,0
 Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Male, Canada,0.542011112934423,-0.8625151768557885,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, HS-grad, Divorced, Other-service, Not-in-family, Female, United-States,1.1269443132071502,-0.4746733680405071,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Bachelors, Never-married, Adm-clerical, Unmarried, Female, United-States,-0.1160387373723954,0.581716286967951,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-1.0925294117739275,0
 Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Female, United-States,0.9807110131389685,-1.07689179225961,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Self-emp-inc, Assoc-voc, Married-civ-spouse, Other-service, Husband, Male, United-States,0.2495445127980592,0.15070877280980674,0.35094477278658087,0.3070673389389248,-0.21686313686554418,3.192974958485363,0
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,-0.1160387373723954,-0.7706626823709537,1.5162487470733492,1.8188832476315173,-0.21686313686554418,0.3629249026537561,1
 Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Female, United-States,1.5656442134116957,0.2651041007996551,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,1
 Private, HS-grad, Married-civ-spouse, Sales, Husband, Male, United-States,0.7613610630366957,-0.013051539736783042,-0.425924543404598,12.931907195828149,-0.21686313686554418,1.98009636312896,1
 Private, Some-college, Married-spouse-absent, Sales, Not-in-family, Female, United-States,-0.9934385377814865,-0.3556452967244166,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,-0.33538868747466816,0.08855359585339868,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,2.5461063742952814,0
 ?, Some-college, Married-civ-spouse, ?, Wife, Female, United-States,-1.432138437986032,-0.04310228304473752,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.8499536927026468,0
 Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, Female, United-States,-0.40850533750875906,-0.18950652420208597,0.35094477278658087,-0.1459543139772638,-0.21686313686554418,1.171510632891358,0
 Private, HS-grad, Married-spouse-absent, Other-service, Unmarried, Female, United-States,-0.26227203744057725,-0.17889419876815799,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-1.6585394229402488,0
 Private, Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,0.8344777130707866,0.11595842183894267,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,0.7672177677725571,0
 Private, Assoc-acdm, Married-spouse-absent, Adm-clerical, Unmarried, Female, United-States,-0.6278552876110318,-0.8873600539517801,0.7393794308821703,-0.1459543139772638,-0.21686313686554418,0.3629249026537561,0
 Private, Masters, Never-married, Prof-specialty, Not-in-family, Male, United-States,-0.8472052377133046,-1.409303065977606,1.5162487470733492,-0.1459543139772638,-0.21686313686554418,1.98009636312896,0
 Private, 10th, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,0.9075943631048775,1.8242180470661054,-1.5912285176913663,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Assoc-acdm, Never-married, Exec-managerial, Unmarried, Male, United-States,-0.18915538740648632,1.4093725982852845,0.7393794308821703,-0.1459543139772638,-0.21686313686554418,0.7672177677725571,0
 Self-emp-not-inc, 10th, Divorced, Other-service, Not-in-family, Female, United-States,1.1269443132071502,-0.672992990596054,-1.5912285176913663,-0.1459543139772638,-0.21686313686554418,-2.4671251531778506,0
 Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,-0.04292208733830447,0.14229341843780804,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,1.575803498010159,0
 ?, Bachelors, Never-married, ?, Own-child, Male, United-States,-1.0665551878155775,0.5627459194505964,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.8499536927026468,0
 Private, Some-college, Never-married, Exec-managerial, Not-in-family, Female, United-States,-0.26227203744057725,0.012930031082554583,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Female, United-States,-0.554738637576941,1.1482291554066553,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, 12th, Married-civ-spouse, Other-service, Husband, Male, United-States,-0.26227203744057725,-0.1152393502607808,-0.8143592015001875,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,0.8344777130707866,-0.7677397556537783,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Never-married, Craft-repair, Own-child, Male, United-States,-1.28590513791785,-0.6804626922066136,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Some-college, Never-married, Craft-repair, Not-in-family, Male, United-States,0.030194562695786447,-0.9760030602765791,-0.03748988530900857,-0.1459543139772638,-0.21686313686554418,0.7672177677725571,0
 Private, Bachelors, Divorced, Exec-managerial, Unmarried, Female, United-States,1.419410913343514,-0.44572111026351724,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,0
 Private, Masters, Never-married, Craft-repair, Not-in-family, Male, United-States,-0.26227203744057725,0.15003057739503728,1.5162487470733492,-0.1459543139772638,-0.21686313686554418,0.7672177677725571,1
 Private, 10th, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,-0.9934385377814865,2.2822100970935986,-1.5912285176913663,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Bachelors, Divorced, Prof-specialty, Unmarried, Female, United-States,-0.18915538740648632,-1.1122916825009574,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,0.3629249026537561,0
 Private, HS-grad, Separated, Other-service, Unmarried, Female, United-States,-0.18915538740648632,-0.5827834483836185,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.8499536927026468,0
 Private, 11th, Never-married, Other-service, Own-child, Male, United-States,-1.505255088020123,0.5281770573935438,-1.2027938595957768,-0.1459543139772638,-0.21686313686554418,-1.9819737150352894,0
 Private, HS-grad, Never-married, Other-service, Not-in-family, Female, United-States,-1.505255088020123,0.9972972434521135,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,0.3629249026537561,0
 Federal-gov, Bachelors, Separated, Other-service, Unmarried, Female, ?,1.2000609632412411,-0.1364735531767321,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,2.5461063742952814,0
 Private, 9th, Never-married, Sales, Not-in-family, Male, United-States,-0.6278552876110318,-1.2846201821890715,-1.9796631757869556,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,-0.48162198754285,-0.21192518108186,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, HS-grad, Married-civ-spouse, Sales, Husband, Male, Scotland,1.7849941635139686,-0.5144767524538085,-0.425924543404598,-0.1459543139772638,-0.21686313686554418,-0.04136796246504486,0
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,-0.7740885876792137,-0.05411579449866997,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,1.171510632891358,0
 Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, Female, United-States,1.346294263309423,-0.14880524726782213,1.1278140889777597,-0.1459543139772638,-0.21686313686554418,-0.44566082758384584,0
